Station Name,From,FT,To,TT,PM10,PM2.5,"AT()","BP(mmHg)","SR(W/mt2)","RH(%)","WD(degree)","RF(mm)","NO(ug/m3)","NOx(ppb)","NO2(ug/m3)","NH3(ug/m3)","SO2(ug/m3)","CO(mg/m3)","Ozone(ug/m3)","Benzene()","Toluene()","Xylene()","MP-Xylene()","Eth-Xylene()"
"Alipur, Delhi - DPCC",01-Aug-2021,00:00,01-Aug-2021,01:00,102.0,39.5,28.9,976.1,4.47,85.97,55.38,,31.42,36.65,20.72,12.6,6.62,1.08,2.87,0.72,4.0,2.68,,
"Alipur, Delhi - DPCC",01-Aug-2021,01:00,01-Aug-2021,02:00,93.0,38.75,28.77,975.73,4.43,86.85,50.2,,21.48,27.12,18.1,14.07,4.03,0.93,,0.45,3.33,1.27,,
"Alipur, Delhi - DPCC",01-Aug-2021,02:00,01-Aug-2021,03:00,112.75,42.75,28.42,975.48,4.43,86.98,49.7,,50.3,51.6,19.9,18.7,0.4,0.9,2.83,0.62,5.0,1.67,,
"Alipur, Delhi - DPCC",01-Aug-2021,03:00,01-Aug-2021,04:00,145.0,49.0,28.43,975.15,4.43,87.65,49.7,,53.12,52.52,17.32,16.4,0.98,1.02,3.65,0.5,15.33,3.85,,
"Alipur, Delhi - DPCC",01-Aug-2021,04:00,01-Aug-2021,05:00,147.0,53.5,28.67,975.02,4.43,87.38,217.5,,74.83,72.6,22.1,13.65,3.47,1.08,5.2,0.45,24.5,6.27,,
"Alipur, Delhi - DPCC",01-Aug-2021,05:00,01-Aug-2021,06:00,143.25,58.0,28.3,975.25,4.68,85.6,265.93,,19.57,25.52,18.1,16.1,6.38,0.9,3.5,0.68,21.93,3.32,,
"Alipur, Delhi - DPCC",01-Aug-2021,06:00,01-Aug-2021,07:00,87.5,44.75,26.07,976.5,6.72,80.85,158.42,,1.98,4.47,5.45,15.03,6.03,0.33,2.58,0.2,10.15,0.93,,
"Alipur, Delhi - DPCC",01-Aug-2021,07:00,01-Aug-2021,08:00,8.0,5.0,25.38,977.33,6.75,86.77,109.55,1.0,1.52,4.6,6.25,13.35,4.5,0.4,3.65,0.0,2.85,0.2,,
"Alipur, Delhi - DPCC",01-Aug-2021,08:00,01-Aug-2021,09:00,,,25.08,977.17,10.75,88.2,110.08,2.12,1.52,4.2,5.53,12.53,6.6,0.45,2.82,0.0,2.3,0.07,,
"Alipur, Delhi - DPCC",01-Aug-2021,09:00,01-Aug-2021,10:00,,,25.52,976.6,64.4,88.2,128.85,0.62,1.95,6.5,9.25,12.38,7.33,0.5,2.43,0.0,1.75,0.0,,
"Alipur, Delhi - DPCC",01-Aug-2021,10:00,01-Aug-2021,11:00,,,26.7,976.33,172.9,83.83,103.25,,2.62,9.33,13.5,12.43,6.0,0.5,2.9,0.05,1.77,0.0,,
"Alipur, Delhi - DPCC",01-Aug-2021,11:00,01-Aug-2021,12:00,,,29.32,976.1,355.88,74.82,273.05,,4.1,12.35,16.85,12.38,4.65,0.6,3.85,0.0,2.43,0.07,,
"Alipur, Delhi - DPCC",01-Aug-2021,12:00,01-Aug-2021,13:00,29.0,17.0,29.33,975.42,255.23,74.67,271.0,,3.12,10.8,15.57,12.8,3.85,0.55,4.7,0.2,20.98,0.7,,
"Alipur, Delhi - DPCC",01-Aug-2021,13:00,01-Aug-2021,14:00,29.5,16.25,29.75,975.0,246.4,72.88,279.35,,2.52,10.13,14.57,14.1,3.6,0.53,6.45,0.0,20.15,0.17,,
"Alipur, Delhi - DPCC",01-Aug-2021,14:00,01-Aug-2021,15:00,30.25,16.5,29.9,974.3,225.25,71.95,268.15,,2.42,8.93,13.03,13.8,2.77,0.5,6.5,0.15,10.25,0.0,,
"Alipur, Delhi - DPCC",01-Aug-2021,15:00,01-Aug-2021,16:00,30.75,24.25,30.45,973.67,229.78,70.03,297.15,,2.4,9.07,13.38,13.98,2.2,0.58,8.95,0.05,14.48,0.22,,
"Alipur, Delhi - DPCC",01-Aug-2021,16:00,01-Aug-2021,17:00,42.0,26.0,31.97,973.27,280.77,65.2,257.58,,2.23,9.83,14.98,14.05,3.1,0.6,13.45,0.1,14.93,0.72,,
"Alipur, Delhi - DPCC",01-Aug-2021,17:00,01-Aug-2021,18:00,51.0,27.75,32.42,973.1,239.9,65.12,89.3,,1.88,9.03,14.07,14.53,5.6,0.6,15.72,0.1,28.2,0.22,,
"Alipur, Delhi - DPCC",01-Aug-2021,18:00,01-Aug-2021,19:00,43.25,21.5,30.42,973.58,50.83,73.53,45.8,,1.38,6.03,9.25,14.22,5.62,0.57,11.47,0.15,10.4,0.6,,
"Alipur, Delhi - DPCC",01-Aug-2021,19:00,01-Aug-2021,20:00,22.0,14.75,28.92,974.25,5.75,79.6,67.88,,1.65,6.15,9.05,13.32,9.43,0.6,5.53,0.07,4.53,0.0,,
"Alipur, Delhi - DPCC",01-Aug-2021,20:00,01-Aug-2021,21:00,32.25,18.5,28.38,974.8,4.4,83.45,87.92,,1.67,8.8,13.95,13.65,8.43,0.7,3.65,0.07,3.17,0.12,,
"Alipur, Delhi - DPCC",01-Aug-2021,21:00,01-Aug-2021,22:00,41.25,23.25,28.1,975.25,4.43,84.47,81.08,,1.65,9.18,14.72,13.25,8.55,0.67,3.55,0.15,2.5,0.0,,
"Alipur, Delhi - DPCC",01-Aug-2021,22:00,01-Aug-2021,23:00,31.0,24.0,27.77,975.42,4.45,85.22,89.22,,1.62,9.3,15.0,13.07,7.9,0.7,3.2,0.17,2.38,0.07,,
"Alipur, Delhi - DPCC",01-Aug-2021,23:00,02-Aug-2021,00:00,35.5,25.25,27.38,975.5,4.4,86.95,91.15,,1.62,7.92,12.4,13.38,6.62,0.7,2.7,0.43,3.15,0.07,,
"Alipur, Delhi - DPCC",02-Aug-2021,00:00,02-Aug-2021,01:00,43.0,29.5,27.07,975.05,4.43,87.78,91.82,,2.8,10.85,16.1,14.38,6.35,0.8,2.2,0.53,3.85,0.2,,
"Alipur, Delhi - DPCC",02-Aug-2021,01:00,02-Aug-2021,02:00,52.25,31.5,27.07,974.42,4.5,88.22,104.93,,3.6,12.6,18.15,14.35,5.1,0.8,,0.2,3.23,0.25,,
"Alipur, Delhi - DPCC",02-Aug-2021,02:00,02-Aug-2021,03:00,49.75,32.0,27.22,974.3,4.47,88.38,281.6,,9.2,19.7,22.8,19.7,2.7,0.6,2.1,0.25,3.05,0.55,,
"Alipur, Delhi - DPCC",02-Aug-2021,03:00,02-Aug-2021,04:00,44.25,33.0,27.3,974.23,4.47,88.35,291.25,,6.0,17.18,23.1,18.35,3.43,0.7,2.4,0.28,2.72,0.45,,
"Alipur, Delhi - DPCC",02-Aug-2021,04:00,02-Aug-2021,05:00,68.25,56.0,27.25,974.55,4.47,88.33,212.75,,3.8,12.22,17.2,16.95,6.43,0.7,2.67,0.57,2.62,0.32,,
"Alipur, Delhi - DPCC",02-Aug-2021,05:00,02-Aug-2021,06:00,94.0,81.25,27.3,974.88,5.12,88.33,226.02,,5.47,14.82,19.53,15.07,7.4,0.73,3.6,0.75,2.35,0.38,,
"Alipur, Delhi - DPCC",02-Aug-2021,06:00,02-Aug-2021,07:00,71.25,59.0,27.48,975.48,22.75,88.33,247.78,,10.53,17.12,16.02,14.12,9.03,0.8,2.42,0.62,2.78,0.17,,
"Alipur, Delhi - DPCC",02-Aug-2021,07:00,02-Aug-2021,08:00,78.25,63.25,28.12,975.97,84.17,85.55,187.9,,10.25,18.93,19.85,13.55,9.58,0.9,3.27,0.75,3.52,0.35,,
"Alipur, Delhi - DPCC",02-Aug-2021,08:00,02-Aug-2021,09:00,85.25,65.75,29.35,976.75,163.0,78.25,71.25,,5.05,13.9,18.4,12.82,11.1,0.75,16.75,1.0,6.65,0.45,,
"Alipur, Delhi - DPCC",02-Aug-2021,09:00,02-Aug-2021,10:00,77.0,62.5,30.08,977.23,165.9,75.08,74.95,,3.0,11.4,16.9,12.53,10.65,0.67,23.6,0.73,5.33,0.4,,
"Alipur, Delhi - DPCC",02-Aug-2021,10:00,02-Aug-2021,11:00,68.75,58.5,31.22,977.2,263.05,68.83,63.05,,2.15,8.15,12.03,12.3,9.9,0.53,17.2,0.57,4.7,0.53,,
"Alipur, Delhi - DPCC",02-Aug-2021,11:00,02-Aug-2021,12:00,40.25,36.25,31.25,977.2,294.35,67.12,60.48,,1.62,5.38,7.6,12.7,7.58,0.4,13.2,0.28,2.33,0.07,,
"Alipur, Delhi - DPCC",02-Aug-2021,12:00,02-Aug-2021,13:00,27.5,17.75,32.95,976.7,577.75,61.78,85.65,,1.82,5.93,8.32,13.53,7.17,0.33,9.0,0.0,1.75,0.0,,
"Alipur, Delhi - DPCC",02-Aug-2021,13:00,02-Aug-2021,14:00,22.0,14.75,32.03,976.0,349.38,66.53,86.12,1.0,1.2,4.08,5.85,14.03,5.75,0.3,9.68,0.0,1.42,0.0,,
"Alipur, Delhi - DPCC",02-Aug-2021,14:00,02-Aug-2021,15:00,20.0,17.5,31.82,975.3,440.75,69.05,165.47,,1.52,4.25,5.65,14.3,6.1,0.5,8.88,0.0,1.3,0.0,,
"Alipur, Delhi - DPCC",02-Aug-2021,15:00,02-Aug-2021,16:00,23.0,19.0,30.88,974.8,178.82,70.83,82.32,,1.18,3.45,4.73,14.23,5.97,0.5,9.2,0.0,1.1,0.0,,
"Alipur, Delhi - DPCC",02-Aug-2021,16:00,02-Aug-2021,17:00,14.0,11.0,29.1,974.73,86.48,79.75,45.27,0.5,1.45,3.7,4.75,13.93,4.27,0.5,7.05,0.0,1.32,0.03,,
"Alipur, Delhi - DPCC",02-Aug-2021,17:00,02-Aug-2021,18:00,14.0,11.0,28.02,974.67,50.12,82.53,51.65,,1.1,3.05,4.03,12.82,3.58,0.5,7.2,0.0,1.15,0.0,,
"Alipur, Delhi - DPCC",02-Aug-2021,18:00,02-Aug-2021,19:00,,,28.05,974.95,32.0,83.5,28.25,,1.32,3.6,4.72,12.1,4.48,0.5,6.25,0.0,1.05,0.0,,
"Alipur, Delhi - DPCC",02-Aug-2021,19:00,02-Aug-2021,20:00,16.0,13.0,27.85,975.45,5.18,85.53,35.25,,1.27,4.3,6.07,11.75,6.93,0.5,4.17,0.0,1.23,0.28,,
"Alipur, Delhi - DPCC",02-Aug-2021,20:00,02-Aug-2021,21:00,18.0,14.0,27.65,976.23,4.4,86.62,43.62,,1.35,4.58,6.5,11.5,7.33,0.5,3.93,0.07,1.1,0.1,,
"Alipur, Delhi - DPCC",02-Aug-2021,21:00,02-Aug-2021,22:00,24.0,17.25,27.62,976.88,4.4,86.95,40.35,,1.53,5.32,7.67,11.75,6.87,0.6,2.3,0.07,1.2,0.0,,
"Alipur, Delhi - DPCC",02-Aug-2021,22:00,02-Aug-2021,23:00,25.75,19.25,27.6,977.0,4.47,87.2,47.88,,1.55,5.62,8.2,13.18,3.23,0.6,2.1,0.17,1.18,0.05,,
"Alipur, Delhi - DPCC",02-Aug-2021,23:00,03-Aug-2021,00:00,33.25,25.0,27.5,976.65,4.43,86.62,50.95,,1.75,7.4,11.23,13.78,5.4,0.67,,0.0,1.62,0.28,,
"Alipur, Delhi - DPCC",03-Aug-2021,00:00,03-Aug-2021,01:00,44.0,32.25,27.55,976.75,4.43,86.9,15.75,,1.72,6.7,9.97,14.02,6.55,0.7,42.43,0.1,1.52,0.1,,
"Alipur, Delhi - DPCC",03-Aug-2021,01:00,03-Aug-2021,02:00,53.5,35.5,27.45,976.65,4.4,87.95,28.62,,1.9,6.62,9.6,13.72,6.72,0.7,7.6,0.23,1.35,0.0,,
"Alipur, Delhi - DPCC",03-Aug-2021,02:00,03-Aug-2021,03:00,46.5,35.25,27.3,976.2,4.4,87.8,33.52,,2.0,8.0,12.1,17.9,5.0,0.5,16.1,0.1,1.32,0.07,,
"Alipur, Delhi - DPCC",03-Aug-2021,03:00,03-Aug-2021,04:00,45.5,35.0,27.2,976.23,4.4,87.12,41.8,,1.3,6.97,11.12,15.12,6.4,0.6,,0.28,1.45,0.0,,
"Alipur, Delhi - DPCC",03-Aug-2021,04:00,03-Aug-2021,05:00,43.75,31.5,27.05,976.47,4.4,87.0,38.85,,1.52,6.47,9.9,12.35,5.7,0.6,,0.4,1.3,0.1,,
"Alipur, Delhi - DPCC",03-Aug-2021,05:00,03-Aug-2021,06:00,54.0,49.0,26.98,977.05,6.7,86.97,28.73,,1.82,6.65,9.7,11.45,4.32,0.53,,0.12,1.2,0.0,,
"Alipur, Delhi - DPCC",03-Aug-2021,06:00,03-Aug-2021,07:00,33.25,24.75,27.23,977.5,36.17,86.27,41.25,,1.9,6.15,8.73,11.1,5.3,0.5,,0.15,1.15,0.0,,
"Alipur, Delhi - DPCC",03-Aug-2021,07:00,03-Aug-2021,08:00,32.25,23.5,28.72,977.48,196.85,80.55,33.3,,1.87,5.43,7.35,10.95,5.5,0.5,,0.07,1.13,0.0,,
"Alipur, Delhi - DPCC",03-Aug-2021,08:00,03-Aug-2021,09:00,29.25,23.5,30.63,977.6,311.55,72.55,74.42,,1.6,4.55,6.1,11.03,3.97,0.5,,0.0,1.15,0.0,,
"Alipur, Delhi - DPCC",03-Aug-2021,09:00,03-Aug-2021,10:00,36.0,29.5,31.6,977.53,389.25,68.22,73.12,,1.73,4.88,6.55,11.18,3.95,0.5,,0.07,0.97,0.0,,
"Alipur, Delhi - DPCC",03-Aug-2021,10:00,03-Aug-2021,11:00,35.75,32.75,32.15,978.02,335.6,65.2,73.35,,1.58,4.62,6.27,12.0,4.4,0.5,,0.0,1.02,0.0,,
"Alipur, Delhi - DPCC",03-Aug-2021,11:00,03-Aug-2021,12:00,35.75,28.5,32.88,977.85,583.45,63.7,59.6,,1.55,4.38,5.85,12.72,2.95,0.5,21.15,0.0,1.0,0.0,,
"Alipur, Delhi - DPCC",03-Aug-2021,12:00,03-Aug-2021,13:00,36.0,25.75,34.28,977.35,707.3,59.0,62.9,,1.43,4.25,5.83,13.27,1.5,0.45,14.62,0.0,0.77,0.0,,
"Alipur, Delhi - DPCC",03-Aug-2021,13:00,03-Aug-2021,14:00,27.25,21.0,34.7,976.8,659.5,56.6,65.72,,1.5,3.98,5.12,13.03,0.95,0.47,14.68,0.0,0.8,0.0,,
"Alipur, Delhi - DPCC",03-Aug-2021,14:00,03-Aug-2021,15:00,19.0,17.0,34.75,976.12,591.75,56.18,66.55,,1.55,3.73,4.68,13.9,,0.5,16.38,0.0,0.95,0.0,,
"Alipur, Delhi - DPCC",03-Aug-2021,15:00,03-Aug-2021,16:00,18.5,12.75,34.85,975.25,547.15,56.55,75.1,,1.27,3.58,4.78,13.97,3.25,0.5,16.42,0.0,0.8,0.0,,
"Alipur, Delhi - DPCC",03-Aug-2021,16:00,03-Aug-2021,17:00,17.0,9.0,34.67,975.08,329.5,57.55,71.65,,1.23,3.17,4.03,12.38,3.73,0.47,16.88,0.0,0.57,0.0,,
"Alipur, Delhi - DPCC",03-Aug-2021,17:00,03-Aug-2021,18:00,22.0,12.0,33.4,974.92,162.9,61.83,73.55,,1.23,3.3,4.35,11.82,5.08,0.5,17.2,0.0,0.65,0.0,,
"Alipur, Delhi - DPCC",03-Aug-2021,18:00,03-Aug-2021,19:00,26.25,12.0,31.9,975.28,33.62,65.3,81.12,,1.25,3.7,5.1,10.78,8.0,0.5,14.5,0.03,0.82,0.03,,
"Alipur, Delhi - DPCC",03-Aug-2021,19:00,03-Aug-2021,20:00,39.75,13.5,30.5,975.77,5.0,71.65,91.5,,1.2,5.5,8.57,10.55,9.25,0.6,9.95,0.1,2.75,0.0,,
"Alipur, Delhi - DPCC",03-Aug-2021,20:00,03-Aug-2021,21:00,43.5,19.75,29.38,976.88,4.4,76.2,85.57,,1.55,7.62,12.0,11.25,6.12,0.6,5.4,0.3,9.93,0.57,,
"Alipur, Delhi - DPCC",03-Aug-2021,21:00,03-Aug-2021,22:00,50.5,26.0,28.85,977.4,4.4,79.53,75.92,,1.7,10.68,17.5,12.35,5.2,0.77,10.25,0.4,6.97,0.82,,
"Alipur, Delhi - DPCC",03-Aug-2021,22:00,03-Aug-2021,23:00,61.0,30.25,28.62,977.8,4.45,80.72,80.95,,2.17,12.38,19.95,12.43,4.6,0.82,4.33,0.62,10.28,1.4,,
"Alipur, Delhi - DPCC",03-Aug-2021,23:00,04-Aug-2021,00:00,64.25,32.75,28.02,977.92,4.45,84.7,59.82,,2.45,10.3,15.57,12.72,3.0,0.7,3.12,0.6,8.3,0.7,,
"Alipur, Delhi - DPCC",04-Aug-2021,00:00,04-Aug-2021,01:00,45.25,29.0,27.8,977.95,4.45,84.15,31.62,,1.8,8.5,13.32,12.7,2.05,0.6,3.32,0.2,3.17,0.35,,
"Alipur, Delhi - DPCC",04-Aug-2021,01:00,04-Aug-2021,02:00,38.5,28.5,27.45,977.7,4.47,85.17,37.7,,1.45,7.27,11.45,12.68,1.8,0.6,,0.17,2.35,0.15,,
"Alipur, Delhi - DPCC",04-Aug-2021,02:00,04-Aug-2021,03:00,33.75,26.5,27.37,977.48,4.45,85.38,31.62,,2.0,6.2,8.5,19.5,3.7,0.5,3.15,0.2,1.48,0.0,,
"Alipur, Delhi - DPCC",04-Aug-2021,03:00,04-Aug-2021,04:00,33.25,23.5,27.15,977.6,4.5,86.1,36.05,,1.7,6.02,8.7,16.7,3.37,0.58,2.35,0.12,1.35,0.0,,
"Alipur, Delhi - DPCC",04-Aug-2021,04:00,04-Aug-2021,05:00,34.0,20.5,26.93,977.6,4.47,86.95,29.95,,1.8,6.33,9.18,14.4,3.07,0.6,2.47,0.17,1.38,0.12,,
"Alipur, Delhi - DPCC",04-Aug-2021,05:00,04-Aug-2021,06:00,35.25,24.5,26.73,977.62,6.53,86.58,59.1,,1.8,6.3,9.1,13.82,4.75,0.6,2.8,0.12,1.35,0.0,,
"Alipur, Delhi - DPCC",04-Aug-2021,06:00,04-Aug-2021,07:00,38.25,23.5,27.07,977.88,37.7,84.22,72.85,,1.97,6.05,8.4,13.55,4.4,0.6,2.78,0.17,1.43,0.0,,
"Alipur, Delhi - DPCC",04-Aug-2021,07:00,04-Aug-2021,08:00,32.75,21.75,28.62,978.15,191.65,75.77,91.55,,2.27,5.4,6.68,13.3,4.1,0.5,7.5,0.1,1.32,0.0,,
"Alipur, Delhi - DPCC",04-Aug-2021,08:00,04-Aug-2021,09:00,21.25,11.75,30.23,978.58,407.7,69.3,67.9,,1.67,4.1,5.15,13.5,6.4,0.47,6.6,0.0,1.2,0.0,,
"Alipur, Delhi - DPCC",04-Aug-2021,09:00,04-Aug-2021,10:00,17.0,11.5,31.5,979.02,535.97,65.62,80.5,,1.2,3.58,4.85,14.02,3.98,0.4,9.1,0.03,0.87,0.0,,
"Alipur, Delhi - DPCC",04-Aug-2021,10:00,04-Aug-2021,11:00,19.0,11.75,32.85,979.15,658.18,61.3,72.5,,1.65,3.88,4.8,14.27,2.47,0.4,10.88,0.0,0.88,0.0,,
"Alipur, Delhi - DPCC",04-Aug-2021,11:00,04-Aug-2021,12:00,17.5,10.5,33.5,978.98,692.4,59.27,81.22,,1.52,3.8,4.82,14.32,2.08,0.4,15.42,0.0,0.77,0.0,,
"Alipur, Delhi - DPCC",04-Aug-2021,12:00,04-Aug-2021,13:00,23.25,18.5,33.67,978.58,695.95,58.55,76.3,,1.52,3.8,4.83,14.03,3.52,0.4,18.42,0.0,0.93,0.0,,
"Alipur, Delhi - DPCC",04-Aug-2021,13:00,04-Aug-2021,14:00,24.75,18.5,34.25,977.9,684.22,56.67,79.55,,1.22,3.45,4.58,13.57,3.9,0.47,17.85,0.0,0.97,0.0,,
"Alipur, Delhi - DPCC",04-Aug-2021,14:00,04-Aug-2021,15:00,19.5,13.5,34.92,976.9,657.65,54.38,78.68,,1.45,3.5,4.37,12.1,4.9,0.5,18.68,0.0,0.68,0.0,,
"Alipur, Delhi - DPCC",04-Aug-2021,15:00,04-Aug-2021,16:00,25.0,12.5,34.83,976.4,478.45,55.5,92.65,,1.32,3.22,4.1,11.95,6.02,0.53,20.2,0.0,1.5,0.0,,
"Alipur, Delhi - DPCC",04-Aug-2021,16:00,04-Aug-2021,17:00,28.75,15.25,34.5,976.05,318.45,56.35,74.95,,1.35,3.23,3.98,12.05,4.37,0.5,24.17,0.0,2.12,0.03,,
"Alipur, Delhi - DPCC",04-Aug-2021,17:00,04-Aug-2021,18:00,30.25,18.25,32.5,975.8,76.62,62.08,69.95,,1.4,3.65,4.67,11.67,5.47,0.5,21.3,0.0,1.52,0.0,,
"Alipur, Delhi - DPCC",04-Aug-2021,18:00,04-Aug-2021,19:00,32.5,18.75,31.6,976.13,31.73,66.05,76.78,,1.23,4.22,6.05,11.72,7.42,0.58,16.0,0.0,1.2,0.0,,
"Alipur, Delhi - DPCC",04-Aug-2021,19:00,04-Aug-2021,20:00,47.75,28.0,29.85,976.65,5.08,73.3,66.85,,1.52,6.5,9.8,12.72,5.83,0.63,11.85,0.0,4.0,0.1,,
"Alipur, Delhi - DPCC",04-Aug-2021,20:00,04-Aug-2021,21:00,53.0,31.0,29.4,977.0,4.5,75.4,87.8,,1.8,8.3,12.9,13.0,6.7,0.6,9.6,0.0,2.3,0.0,,
"Alipur, Delhi - DPCC",04-Aug-2021,21:00,04-Aug-2021,22:00,,,,,,,,,,,,,,,,,,,,
"Alipur, Delhi - DPCC",04-Aug-2021,22:00,04-Aug-2021,23:00,,,,,,,,,,,,,,,,,,,,
"Alipur, Delhi - DPCC",04-Aug-2021,23:00,05-Aug-2021,00:00,,,27.7,978.2,4.4,86.4,46.4,,,,,,,,,,,,,
"Alipur, Delhi - DPCC",05-Aug-2021,00:00,05-Aug-2021,01:00,52.0,48.0,27.85,978.0,4.4,85.83,49.08,,1.77,7.73,11.83,12.1,4.05,1.15,,0.38,1.98,0.15,,
"Alipur, Delhi - DPCC",05-Aug-2021,01:00,05-Aug-2021,02:00,51.5,46.25,27.45,977.72,4.47,85.67,55.1,,2.25,8.8,13.02,12.68,3.52,1.2,,0.35,2.05,0.07,,
"Alipur, Delhi - DPCC",05-Aug-2021,02:00,05-Aug-2021,03:00,50.0,41.0,27.27,977.5,4.5,86.1,53.43,,,2.9,9.6,14.7,4.1,0.9,2.9,0.2,1.55,0.3,,
"Alipur, Delhi - DPCC",05-Aug-2021,03:00,05-Aug-2021,04:00,42.0,34.0,27.25,977.25,4.5,84.77,78.62,,0.9,7.3,12.32,14.2,5.73,1.0,2.95,0.55,1.27,0.07,,
"Alipur, Delhi - DPCC",05-Aug-2021,04:00,05-Aug-2021,05:00,40.25,32.75,27.02,977.47,4.5,86.57,67.33,,1.62,7.28,11.2,14.25,6.87,1.05,2.83,0.2,1.18,0.0,,
"Alipur, Delhi - DPCC",05-Aug-2021,05:00,05-Aug-2021,06:00,36.0,27.75,26.95,977.55,5.88,87.25,77.62,,2.1,8.23,12.25,13.7,1.83,1.1,2.4,0.3,1.25,0.0,,
"Alipur, Delhi - DPCC",05-Aug-2021,06:00,05-Aug-2021,07:00,41.0,25.0,27.43,977.92,40.4,86.1,66.18,,3.33,10.23,14.18,14.2,1.03,1.1,5.15,0.2,1.4,0.0,,
"Alipur, Delhi - DPCC",05-Aug-2021,07:00,05-Aug-2021,08:00,50.75,29.75,28.82,978.33,108.75,80.15,86.78,,4.07,11.35,15.1,14.6,1.13,1.1,5.42,0.42,2.58,0.43,,
"Alipur, Delhi - DPCC",05-Aug-2021,08:00,05-Aug-2021,09:00,69.25,40.0,29.68,978.6,183.93,76.9,104.38,,4.0,12.1,16.45,14.38,1.6,0.7,6.92,0.43,5.32,0.38,,
"Alipur, Delhi - DPCC",05-Aug-2021,09:00,05-Aug-2021,10:00,86.5,51.75,32.2,978.75,450.98,67.53,107.17,,3.0,10.32,14.8,14.32,1.4,0.65,9.7,0.15,4.28,0.05,,
"Alipur, Delhi - DPCC",05-Aug-2021,10:00,05-Aug-2021,11:00,81.75,48.0,32.3,978.85,427.75,66.47,71.28,,2.5,10.35,15.5,14.35,1.9,0.72,18.35,0.25,4.97,0.25,,
"Alipur, Delhi - DPCC",05-Aug-2021,11:00,05-Aug-2021,12:00,85.0,51.25,29.05,979.05,344.27,68.65,72.1,,1.5,4.5,6.12,13.78,5.42,0.4,13.18,0.07,2.15,0.0,,
"Alipur, Delhi - DPCC",05-Aug-2021,12:00,05-Aug-2021,13:00,16.0,7.0,31.03,978.6,597.62,66.97,106.4,,1.43,3.83,4.98,11.8,7.6,0.5,8.85,0.0,0.9,0.0,,
"Alipur, Delhi - DPCC",05-Aug-2021,13:00,05-Aug-2021,14:00,9.0,6.0,33.48,978.05,692.6,58.48,121.95,,1.35,3.62,4.78,11.62,8.93,0.5,12.88,0.0,0.68,0.0,,
"Alipur, Delhi - DPCC",05-Aug-2021,14:00,05-Aug-2021,15:00,9.75,6.25,33.67,977.27,534.58,58.1,141.18,,1.0,3.27,4.65,11.67,6.55,0.5,15.85,0.0,0.73,0.0,,
"Alipur, Delhi - DPCC",05-Aug-2021,15:00,05-Aug-2021,16:00,15.75,10.75,34.88,976.5,564.25,53.42,81.92,,1.05,3.62,5.2,11.7,5.88,0.5,20.45,0.0,0.62,0.0,,
"Alipur, Delhi - DPCC",05-Aug-2021,16:00,05-Aug-2021,17:00,27.25,20.75,34.67,975.8,379.65,56.15,174.8,,0.93,3.22,4.67,11.45,5.2,0.5,23.95,0.0,0.67,0.0,,
"Alipur, Delhi - DPCC",05-Aug-2021,17:00,05-Aug-2021,18:00,27.0,17.0,34.0,975.42,198.13,59.98,84.88,,1.15,3.65,5.05,12.0,1.25,0.5,25.18,0.03,1.18,0.0,,
"Alipur, Delhi - DPCC",05-Aug-2021,18:00,05-Aug-2021,19:00,25.75,15.75,31.73,975.75,51.5,67.38,114.77,,1.12,4.45,6.57,13.45,2.8,0.5,21.25,0.05,0.68,0.0,,
"Alipur, Delhi - DPCC",05-Aug-2021,19:00,05-Aug-2021,20:00,33.25,12.5,30.35,976.2,5.68,72.75,113.28,,1.45,5.57,8.28,13.72,4.28,0.5,13.1,0.1,1.25,0.0,,
"Alipur, Delhi - DPCC",05-Aug-2021,20:00,05-Aug-2021,21:00,39.0,15.25,29.27,976.9,4.4,77.6,29.88,,1.42,6.15,9.38,13.9,4.85,0.62,8.75,0.0,0.97,0.0,,
"Alipur, Delhi - DPCC",05-Aug-2021,21:00,05-Aug-2021,22:00,37.5,21.75,28.6,977.7,4.47,81.55,83.67,,1.4,7.1,11.15,13.88,3.68,0.7,6.5,0.0,1.05,0.0,,
"Alipur, Delhi - DPCC",05-Aug-2021,22:00,05-Aug-2021,23:00,43.5,31.5,28.32,977.9,4.45,81.85,45.8,,1.55,7.1,11.03,13.72,2.23,0.7,6.6,0.0,1.18,0.0,,
"Alipur, Delhi - DPCC",05-Aug-2021,23:00,06-Aug-2021,00:00,46.5,37.0,27.45,977.95,4.45,84.57,34.38,,1.68,6.92,10.43,12.92,6.02,0.7,3.73,0.15,0.88,0.0,,
"Alipur, Delhi - DPCC",06-Aug-2021,00:00,06-Aug-2021,01:00,42.0,38.5,27.3,978.0,4.5,85.75,52.75,,1.55,6.82,10.45,12.45,6.12,0.75,3.45,0.25,0.93,0.0,,
"Alipur, Delhi - DPCC",06-Aug-2021,01:00,06-Aug-2021,02:00,43.0,35.0,27.25,977.88,4.5,85.58,61.75,,1.9,8.43,13.12,12.42,6.9,0.8,,0.35,1.12,0.0,,
"Alipur, Delhi - DPCC",06-Aug-2021,02:00,06-Aug-2021,03:00,48.5,38.75,27.12,977.23,4.5,86.83,24.65,,2.3,9.0,13.3,14.5,7.6,0.6,2.1,0.6,1.42,0.0,,
"Alipur, Delhi - DPCC",06-Aug-2021,03:00,06-Aug-2021,04:00,51.75,39.75,27.02,976.6,4.5,87.75,50.08,,2.05,8.47,12.98,12.8,8.55,0.6,2.4,0.82,1.23,0.0,,
